id,name,sequence,category_type,parent_id/id
cat_quotidien,Quotidien,10,expense,
sub_resto,Restaurant,11,expense,cat_quotidien
sub_sortie,Sortie,12,expense,cat_quotidien
sub_supermarche,Supermarché,13,expense,cat_quotidien
sub_vetement,Vêtement,14,expense,cat_quotidien
sub_cadeau,Cadeau,15,expense,cat_quotidien
cat_sante,Santé,20,expense,
sub_pharmacie,Pharmacie,21,expense,cat_sante
sub_docteur,Docteur,22,expense,cat_sante
sub_mutuelle,Mutuelle,23,expense,cat_sante
cat_transport,Transport,30,expense,
sub_voyage,Voyage,31,expense,cat_transport
sub_taxi,Taxi,32,expense,cat_transport
sub_metro_velo,Métro & Vélo,33,expense,cat_transport
sub_voiture,Voiture,34,expense,cat_transport
sub_essence_peage,Essence & Péage,35,expense,cat_transport
cat_logement,Logement,40,expense,
sub_loyer,Loyer,41,expense,cat_logement
sub_charges,Charges,42,expense,cat_logement
sub_equipement_maison,Équipement Maison,43,expense,cat_logement
sub_internet,Internet,44,expense,cat_logement
sub_telephone,Téléphone,45,expense,cat_logement
cat_admin,Administratif,50,expense,
sub_banque,Frais Bancaires,51,expense,cat_admin
sub_impots_perso,Impôts Personnels,52,expense,cat_admin
sub_visa,Visa,53,expense,cat_admin
cat_windsurf,Windsurf,60,expense,
sub_matos_wind,Matériel Wind,61,expense,cat_windsurf
sub_entretien_wind,Entretien Wind,62,expense,cat_windsurf
cat_transfert,Transfert,70,transfer,
sub_livret_a,Livret A,71,transfer,cat_transfert
sub_amis,Remboursement Amis,72,transfer,cat_transfert
sub_nubank,Nubank Bill,73,transfer,cat_transfert
sub_fr_br,FR > BR,74,transfer,cat_transfert
sub_wise,Wise,75,transfer,cat_transfert
sub_epargne,Épargne,76,transfer,cat_transfert
cat_technobrass,TechnoBrass,80,income,
sub_tournee,Tournée,81,income,cat_technobrass
sub_caisse,Caisse,82,income,cat_technobrass
cat_music,Musique,90,income,
sub_ulysse,Ulysse,91,income,cat_music
sub_tb_musique,TechnoBrass (Revenu),92,income,cat_music
sub_concerts,Concerts,93,income,cat_music
sub_sacem,SACEM,94,income,cat_music
sub_france_travail,France Travail,95,income,cat_music
sub_matos_musique,Matériel Musique,96,income,cat_music
cat_akretion,Akretion,100,income,
sub_facture_dev,Facture Dév,101,income,cat_akretion
sub_urssaf,URSSAF,102,income,cat_akretion
sub_impots_pro,Impôts Pro,103,income,cat_akretion
